Obs_num,Long,Lat,Country,start_date,end_date,land_cover,land_use,textures,textures_gen,texture_class,soil_other,Annual_precipitation,Precip_intensity,Slope_gradient,method,process,scale,study_area_ha,obs_count,Rslt_Mean,Rslt_Med,Rslt_Net,Rslt_Vol,Rslt_Vis,Source_ref,Collector_Ref,Link
1555,-64.31,-42.969,Argentina,NA,NA,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,NA,NA,NA,NA,NA,NA,28.8,Chartier et al. 2009,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.039
1556,-64.31,-42.969,Argentina,NA,NA,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,NA,NA,NA,NA,NA,NA,38.4,Chartier et al. 2009,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.040
1778,141.803,-31.181,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.0045,NA,NA,NA,NA,NA,30.6,"Fanning, 1994","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.262
1855,148.806,-33.741,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.339
1856,148.729,-33.635,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.6,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.340
1857,148.788,-33.606,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.2,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.341
1858,148.89,-33.635,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.2,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.342
1859,148.919,-33.781,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.8,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.343
1860,148.788,-33.854,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.344
1861,148.715,-33.766,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.345
1862,147.495,-34.984,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.6,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.346
1863,147.583,-34.969,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.9,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.347
1864,147.554,-35.057,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.348
1865,147.466,-35.028,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.349
1866,147.598,-35.042,Australia,NA,NA,fir,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.350
1867,139.391,-35.31,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.1,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.351
1868,139.457,-35.365,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.9,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.352
1869,139.38,-35.376,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.353
1870,139.402,-35.431,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.354
1871,149.047,-35.09,Australia,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,44,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.355
1892,141.717,-31.152,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.033,NA,NA,NA,NA,NA,59.5,"Fanning, 1994","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.376
1912,141.731,-31.237,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.0525,NA,NA,NA,NA,NA,86,"Fanning, 1994","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.396
1942,4.583,50.097,Belgium,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,3.6,NA,NA,NA,NA,NA,6,"Van Oost et al., 2005","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.426
1943,4.583,50.097,Belgium,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,3.6,NA,NA,NA,NA,NA,9,"Van Oost et al., 2005","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.427
1809,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,0.2,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.293
1810,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,26,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.294
1811,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,3.3,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.295
1812,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,230,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.296
1813,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,11.8,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.297
1814,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,230,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.298
1815,-51.225,-30.097,Brasil,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Plot,0.0066,NA,NA,NA,NA,NA,9,"Andrello et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.299
1524,104,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,NA,NA,NA,NA,NA,NA,NA,24.4,"Xiaojun et al., 2013","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.008
1525,104,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,NA,NA,NA,NA,NA,NA,NA,28,"Xiaojun et al., 2013","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.009
1526,104,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,NA,NA,NA,NA,NA,NA,NA,39.8,"Xiaojun et al., 2013","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.010
1527,104,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,NA,NA,NA,NA,NA,NA,NA,39.8,"Xiaojun et al., 2013","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.011
1529,102.709,26.785,China,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,4.6,Shao et al. 2011,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.013
1530,105.835,31.479,China,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,8.8,Shao et al. 2011,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.014
1531,97.933,34.416,China,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,4.2,Shao et al. 2011,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.015
1532,107.009,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,90.9,"Su and Zhang, 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.016
1533,107.009,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,52.8,"Su and Zhang, 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.017
1534,107.009,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,44.8,"Su and Zhang, 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.018
1535,107.009,30.001,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,37.4,"Su and Zhang, 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.019
1570,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,10.3,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.054
1571,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,17.1,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.055
1572,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,10.8,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.056
1573,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,26.4,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.057
1574,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,56.6,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.058
1575,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,37.6,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.059
1576,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,19.8,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.060
1577,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,37.2,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.061
1578,125.014,44.079,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,23.5,"Fang et al., 2006","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.062
1585,107.894,32.535,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,74.7,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.069
1586,107.894,32.535,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,9.9,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.070
1587,107.894,32.535,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,42,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.071
1588,115.854,28.676,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,46.6,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.072
1589,115.854,28.676,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,7.6,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.073
1590,115.854,28.676,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,67.8,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.074
1591,108.407,31.142,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,94.5,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.075
1592,108.407,31.142,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,74.8,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.076
1593,108.407,31.142,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,98.5,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.077
1594,110.976,30.81,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,20.6,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.078
1595,101.868,25.675,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,62.7,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.079
1596,101.919,25.52,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,27.4,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.080
1597,101.919,25.52,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,radioisotopic,NA,Hillslope,NA,NA,NA,NA,NA,NA,14.1,"Zhang et al., 2003","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.081
1749,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,16,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.233
1750,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,7.1,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.234
1751,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,11.5,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.235
1752,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,4,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.236
1753,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,8.3,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.237
1754,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,9.4,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.238
1755,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,4.8,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.239
1756,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,3.3,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.240
1757,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,2.4,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.241
1758,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,2.2,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.242
1759,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,2.8,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.243
1760,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,3.1,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.244
1761,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,5.1,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.245
1762,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,3.5,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.246
1763,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,2.4,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.247
1764,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,2.1,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.248
1765,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,3,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.249
1766,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.002,NA,NA,NA,NA,NA,3.2,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.250
1782,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,19.7,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.266
1783,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,16.4,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.267
1784,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,8.1,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.268
1785,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,7.5,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.269
1786,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,4.5,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.270
1787,110.012,31.02,China,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,11.2,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.271
1788,110.012,31.02,China,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,6.9,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.272
1789,110.012,31.02,China,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,6,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.273
1790,110.012,31.02,China,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,1.9,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.274
1791,110.012,31.02,China,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.005,NA,NA,NA,NA,NA,2,"Xu et al., 2010","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.275
